Entity,Day,Monthly concentration of atmospheric carbon dioxide,Rolling yearly average of the concentration of atmospheric carbon dioxide
World,1979-01-15,336.56,
World,1979-02-15,337.29,
World,1979-03-15,337.88,
World,1979-04-15,338.32,
World,1979-05-15,338.26,
World,1979-06-15,337.38,
World,1979-07-15,335.56,
World,1979-08-15,334.36,
World,1979-09-15,335.02,
World,1979-10-15,336.36,
World,1979-11-15,337.36,
World,1979-12-15,337.89,336.85333
World,1980-01-15,338.57,337.02084
World,1980-02-15,339.26,337.185
World,1980-03-15,339.59,337.3275
World,1980-04-15,339.99,337.46667
World,1980-05-15,340.44,337.64832
World,1980-06-15,339.99,337.86584
World,1980-07-15,338.44,338.10583
World,1980-08-15,337.21,338.34332
World,1980-09-15,337.05,338.5125
World,1980-10-15,337.82,338.63416
World,1980-11-15,338.93,338.765
World,1980-12-15,339.64,338.91083
World,1981-01-15,340.18,339.04498
World,1981-02-15,340.74,339.16833
World,1981-03-15,341.38,339.3175
World,1981-04-15,341.68,339.45834
World,1981-05-15,341.43,339.54083
World,1981-06-15,340.63,339.59418
World,1981-07-15,339.22,339.65918
World,1981-08-15,338.08,339.73166
World,1981-09-15,337.97,339.80832
World,1981-10-15,339.07,339.9125
World,1981-11-15,340.18,340.01666
World,1981-12-15,340.75,340.10916
World,1982-01-15,341.36,340.2075
World,1982-02-15,341.95,340.30832
World,1982-03-15,342.23,340.37915
World,1982-04-15,342.52,340.44916
World,1982-05-15,342.36,340.52667
World,1982-06-15,341.49,340.59833
World,1982-07-15,339.75,340.6425
World,1982-08-15,338.11,340.645
World,1982-09-15,338.16,340.66083
World,1982-10-15,339.61,340.70584
World,1982-11-15,340.95,340.77
World,1982-12-15,341.77,340.85498
World,1983-01-15,342.37,340.93915
World,1983-02-15,342.75,341.00583
World,1983-03-15,343.04,341.07333
World,1983-04-15,343.51,341.15582
World,1983-05-15,343.85,341.28
World,1983-06-15,343.51,341.44833
World,1983-07-15,342.15,341.64835
World,1983-08-15,340.63,341.85834
World,1983-09-15,340.54,342.05667
World,1983-10-15,341.75,342.23502
World,1983-11-15,342.83,342.39166
World,1983-12-15,343.49,342.535
World,1984-01-15,344.32,342.6975
World,1984-02-15,344.82,342.87
World,1984-03-15,344.96,343.03
World,1984-04-15,345.19,343.17
World,1984-05-15,345.33,343.29333
World,1984-06-15,344.57,343.38165
World,1984-07-15,343.2,343.46918
World,1984-08-15,342.21,343.60083
World,1984-09-15,342.13,343.73334
World,1984-10-15,342.99,343.83667
World,1984-11-15,344.16,343.9475
World,1984-12-15,345.01,344.07416
World,1985-01-15,345.36,344.16083
World,1985-02-15,345.81,344.24335
World,1985-03-15,346.65,344.38416
World,1985-04-15,346.94,344.53
World,1985-05-15,346.78,344.65082
World,1985-06-15,346.27,344.7925
World,1985-07-15,344.93,344.93668
World,1985-08-15,343.42,345.0375
World,1985-09-15,343.37,345.14084
World,1985-10-15,344.65,345.27917
World,1985-11-15,345.79,345.415
World,1985-12-15,346.55,345.54333
World,1986-01-15,347.11,345.68915
World,1986-02-15,347.34,345.81665
World,1986-03-15,347.71,345.905
World,1986-04-15,348.22,346.01166
World,1986-05-15,348.32,346.13998
World,1986-06-15,347.76,346.26416
World,1986-07-15,346.29,346.3775
World,1986-08-15,344.92,346.5025
World,1986-09-15,344.86,346.62668
World,1986-10-15,346.03,346.74167
World,1986-11-15,347.3,346.8675
World,1986-12-15,347.76,346.96832
World,1987-01-15,348,347.0425
World,1987-02-15,348.55,347.14334
World,1987-03-15,349.27,347.27335
World,1987-04-15,349.96,347.41833
World,1987-05-15,350.23,347.5775
World,1987-06-15,349.47,347.72
World,1987-07-15,347.89,347.85333
World,1987-08-15,346.65,347.9975
World,1987-09-15,346.69,348.15
World,1987-10-15,347.96,348.31082
World,1987-11-15,349.25,348.47333
World,1987-12-15,350.19,348.67584
World,1988-01-15,350.91,348.91833
World,1988-02-15,351.47,349.16168
World,1988-03-15,351.85,349.37668
World,1988-04-15,352.3,349.57166
World,1988-05-15,352.46,349.7575
World,1988-06-15,351.76,349.94833
World,1988-07-15,350.28,350.1475
World,1988-08-15,349.09,350.35083
World,1988-09-15,349.27,350.56583
World,1988-10-15,350.44,350.7725
World,1988-11-15,351.61,350.96918
World,1988-12-15,352.46,351.15833
World,1989-01-15,352.99,351.33167
World,1989-02-15,353.45,351.49667
World,1989-03-15,354,351.67584
World,1989-04-15,354.38,351.84915
World,1989-05-15,354.19,351.99335
World,1989-06-15,353.26,352.11835
World,1989-07-15,351.56,352.225
World,1989-08-15,350.21,352.31833
World,1989-09-15,350.56,352.42584
